Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
kaitiaki,kaitiaki,"guardian, trustee",,
kakakaka,kakakaka,"to stutter, stammer",,
kakara,kakara,scent,,
Kamapōtia,kamapoːtia,Cambodia (a country in Asia),,
kamo,kamo,eyelash,,
kangarū,kaŋaruː,kangaroo,kangaroo,kaŋɡɐɹuː
kaniawheatanga,kaniafeataŋa,remorse,,
kano,kano,"color, pigment, hue, sort, kind",,
kapa,kapa,"team, group, row, line",,
kapa,kapa,copper,copper,kɒpə
kapua,kapua,cloud,,
kapuni,kapuni,natural gas,,
karaihe,karaihe,glass (substance),,
karaka,karaka,clock,clock,klɒk
karakotaera,karakotaera,crocodile,,
Karapōnia,karapoːnia,California (a state of the United States),,
Kararaina,kararaina,"A female given name, equivalent to English Caroline.",,
Katatānga,katataːŋa,Kazakhstan,,
kau,kau,"tree; wood, stick",,
kau,kau,a cow,cow,kaʊ
kaumātua,kaumaːtua,An elder,,
kautona,kautona,wart,,
kauwae,kauwae,chin,,
kawa,kawa,sour,,
kawakawa,kawakawa,kawakawa (Piper excelsum),,
kawereo,kawereo,"telephone
Synonyms: waea, terewhōno, terepōno",,
kawhi,kafi,coffee,,
kea,kea,"snot, the kea, Nestor notabilis",,
keakea,keakea,quack (of a duck),,
kei,kei,"At, in (present locative particle)",,
keke,keke,cake,cake,keɪk
keri,keri,to dig (to move hard-packed earth out of the way),,
ki,ki,"to, toward.",,
kiekie,kiekie,A vine used by the Maori for food and as material for,,
kihirua,kihirua,to change one’s mind,,
kikohunga,kikohuŋa,gangrene,,
kina,kina,sea urchin,,
kini,kini,"to pinch, to nip, to pinch off",,
kini,kini,a guinea (the coin),guinea,ɡɪni
Kini,kini,Guinea (a country in Africa),,
kino,kino,"bad, gory",,
kiore,kiore,rat,,
kipa,kipa,spur (horse prod attached to heel),,
kiri,kiri,"(anatomy) skin, peel, bark, rind, hide, leather, surface",,
Kirihi,kirihi,Greece (a country in Europe),,
Kirihimete,kirihimete,Christmas,Christmas,kɹɪsməs
Kirikiriroa,kirikiriroa,Hamilton (a city in New Zealand),,
kiritona,kiritona,"pimple, wart",,
kite,kite,to see,,
kiwi,kiwi,kiwi (bird),,
ko,ko,Placed at the beginning of nominative phrases to signify that they are declarative,,
koe,koe,you (singular),,
kohu,kohu,fog,,
kohuke,kohuke,mineral,,
koi,koi,sharp,,
kokoru,kokoru,bay (gulf),,
konene,konene,refugee,,
kongakonga,koŋakoŋa,"shrapnel, crumb, (computing) fragment, Synonym: pirara",,
kopa,kopa,"space in front of a house, floor space and corner on",,
kore,kore,without (not having),,
Koria,koria,Korea,,
koro,koro,grandfather,,
koromiko,koromiko,koromiko shrub,,
Koromōpia,koromoːpia,Colombia (a country in South America),,
Koroātia,koroaːtia,Croatia (a country in Europe),,
koura,koura,"gold, koura (freshwater crayfish of the genus Paranephrops,",gold,ɡəʊld
koutou,koutou,you (plural; three or more people),,
-ku,-ku,Used in contractions with particles of possession to mean me,,
kuihipere,kuihipere,gooseberry,,
kupu,kupu,"word, vocabulary, saying, talk, message, statement,",,
kuru,kuru,breadfruit,,
kurī,kuriː,dog,,
kutikuti,kutikuti,"scissors, shears, clippers",,
kutu,kutu,louse (insect),,
kā,kaː,to burn,,
kāhu,kaːhu,"swamp harrier (Circus approximans), a species of harrier hawk",,
kāinga,kaːiŋa,"the burning (of a fire), a place of residence (literally,",,
kākā,kaːkaː,a parrot (especially the kaka),,
kākāpō,kaːkaːpoː,kakapo,,
kākāriki,kaːkaːriki,"green, a New Zealand parakeet of genus Cyanoramphus,",,
Kāmaka,kaːmaka,Gibraltar,,
Kāna,kaːna,Ghana (a country in Africa),,
Kānapera,kaːnapera,Canberra (the capital of Australia),Canberra,kanbəɹə
Kānata,kaːnata,Canada (a country in North America),,
kānga,kaːŋa,"maize, corn",corn,kɔːn
kāo,kaːo,no,,
kāwana,kaːwana,A governor.,governor,ɡʌvənə
kāwanatanga,kaːwanataŋa,Government.,,
kēkē,keːkeː,armpit,,
kī,kiː,"to say, speak, express, utter, call, mention, tell,",,
kī,kiː,key,key,kiː
kō-,koː-,"Prefix added to a number of words, often without any obvious difference in meaning between the two words.",,
kōhanga,koːhaŋa,"nest, nursery",,
kōrero,koːrero,To speak; to talk.,,
kōrua,koːrua,you two (dual; two people),,
kōura,koːura,crayfish; lobster,,
kōura,koːura,gold,gold,ɡəʊld
kōuraura,koːuraura,shrimp (decapod crustacean),,
kōwhai,koːfai,yellow,,
kūkū,kuːkuː,pigeon,,
kūmara,kuːmara,A sweet potato,,
lima,lima,Obsolete spelling of rima,,
ma-,ma-,Adjective prefix,,
Maaka,maaka,"A male given name, equivalent to English Mark. Obsolete spelling of Māka.",,
Maata,maata,Obsolete spelling of Māta.,,
maha,maha,"abundance, bounty, majority",,
mahana,mahana,"cordial, warm, He kuira, he hōro, he paraikete ō mātau",,
mahi,mahi,"(-a,-ngia) to work, do, perform, make, accomplish,",,
mai,mai,hither,,
maika,maika,banana.,,
maina,maina,(military) mine (explosive device),mine,maɪn
maina,maina,myna (species of bird),myna,miːnə
maitai,maitai,metal,,
Makanui,makanui,"A Big Mac, a type of hamburger.",maka,mɑːkə
makariri,makariri,(stative) cold,,
maki,maki,to afflict (of an illness),,
mamae,mamae,pain,,
mana,mana,"power; mana, 2006, Joanne Barker, Sovereignty Matters,",,
manaia,manaia,"a manaia (a figure often seen in art, generally depicted",,
manawa,manawa,"heart (of a person), Kāore i takitaro e tū ana ka neke",,
Mane,mane,Monday,Monday,mʌndeɪ
Manei,manei,Alternative form of Mane,,
manga,maŋa,"stream, creek",,
mangamangaiatua,maŋamaŋaiatua,abracadabra,,
mangu,maŋu,black,,
mangō,maŋoː,shark,,
mano,mano,host,,
manu,manu,"bird (animal), (figuratively) a person held in high",,
Manu,manu,A male given name,,
manuhiri,manuhiri,"guest, visitor",,
marae,marae,The courtyard of a wharenui or meeting-house and the buildings around it.,,
marama,marama,"moon, month",,
mata,mata,raw (uncooked),,
mataku,mataku,afraid,,
matangi,mataŋi,"wind, breeze, Kāore he matangi, koirā i tino kino ai",,
matau,matau,hook,,
mate,mate,dead (no longer alive),,
Matiu,matiu,"A male given name, equivalent to English Matthew.",,
matua,matua,"elder, parent",,
matā,mataː,lead,,
maunga,mauŋa,mountain,,
mauri,mauri,"life principle; metaphorical soul; source of life,",,
mauī,mauiː,left (the west side of the body when one is facing,,
mea,mea,thing,,
Mei,mei,May (month),May,meɪ
Mere,mere,"A female given name, equivalent to English Mary.",,
Mereana,mereana,"A female given name, equivalent to English Mary Ann.",,
merekara,merekara,miracle,miracle,mɪɹəkəl
Meri,meri,Mary (biblical),,
mihi,mihi,"A welcome, A speech made to welcome somebody",,
Mihi,mihi,(obsolete) A title given to a white female,missy,mɪsi
Mihinare,mihinare,Anglican,missionary,mɪʃənəɹi
Mikaere,mikaere,"A male given name, equivalent to English Michael.",,
