ID,Name,Glottocode,ISO639P3code,Macroarea,Latitude,Longitude,Family
0,Maori,maor1246,mri,Papunesia,-38.29,176.54,Austronesian
1,English,stan1293,eng,Eurasia,53.00,-1.00,Indo-European
